Short spring ,,,,,,,,,,,,,,,,,
mass [10^-3 kg],30T [s],,,Tex [s],mcor [10^-3 kg],Tid [s],Tcor [s],PDid [%],PDcor [%],,?m [10^-3 kg],?mcor [10^-3 kg],standard deviation of T [s],standard deviation of the mean [s],?Tex [s],?Tid [s],?Tcor [s]
,30T1,30T2,30T3,,,,,,,,,,,,,,
31.14,18.78,19.09,18.9,0.630777778,41.52,0.584577447,0.675011893,7.324343473,7.012630487,3.593799,0.01,0.01,,,,,
52.14,23.57,23.59,23.72,0.787555556,69.52,0.756429165,0.873449164,3.952278671,10.90635553,3.593799,0.01,0.01,,,,,
70.8,27.51,27.34,27.19,0.911555556,94.4,0.881453448,1.017814771,3.302279012,11.65691049,3.593799,0.01,0.01,,,,,
91.9,30.82,30.92,30.7,1.027111111,122.5333333,1.004246918,1.159604457,2.226068106,12.8996118,3.593799,0.01,0.01,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Long spring ,,,,,,,,,,,,,,,,,
mass [kg],30T [s],,,Tex [s],mcor [kg],Tid [s],Tcor [s],PEid,PEcor,k(Nm^-1\),?m [10^-3 kg],?mcor [10^-3 kg],standard deviation of T,standard deviation of the mean,?Tex,?Tid,?Tcor
,30T1,30T2,30T3,,,,,,,,,,,,,,
52.14,9.7,9.76,9.78,0.324888889,69.52,0.310116486,0.358091673,4.546909349,10.21973516,21.38162,0.01,0.01,,,,,
91.9,13.14,13.06,13.49,0.441,122.5333333,0.411715385,0.475407977,6.640502278,7.802262283,21.38162,0.01,0.01,,,,,
131.46,15.61,15.4,15.55,0.517333333,175.28,0.492420533,0.568598255,4.815618538,9.909456519,21.38162,0.01,0.01,,,,,
,10T1,10T1,10T1,,,,,,,,,,,,,,
171.12,5.88,5.74,5.78,0.58,228.16,0.561810337,0.648722699,3.136148712,11.84874123,21.38162,0.01,0.01,,,,,
202.64,6.22,6.19,"6,23",0.6205,270.1866667,0.61136691,0.7059457,1.471892094,13.77045924,21.38162,0.01,0.01,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,21.38162,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
